,Cumulative Return,Annualized Return,Ann. Risk-Free,Annualized Std,Sharpe Ratio,"Sharpe (rf=0, 원본 정의)",Max Drawdown,Avg Leverage,Max Leverage,Min Leverage
"Cluster v2 (잔차+동적K, [C23+K24])",5.2692,0.1079,0.0122,0.1297,0.7372,0.8315,-0.4856,,,
Cluster v2 + VM(M&M),3.9263,0.0931,0.0122,0.13,0.622,0.7162,-0.2562,1.0042,6.0162,0.0143
"Cluster v2 + VM(실시간,≤1.5x)",5.72,0.1122,0.0122,0.1058,0.945,1.0607,-0.1862,0.9465,1.5,0.014
Cluster v2 + TV12m(수정),4.2425,0.0969,0.0122,0.1219,0.6942,0.7946,-0.4099,0.9847,2.0,0.3854
"Cluster v1 (원시+K=10, [K24])",4.4778,0.0996,0.0122,0.1421,0.6145,0.7007,-0.5521,,,
Cluster v1 + VM(M&M),4.1063,0.0953,0.0122,0.1423,0.5835,0.6695,-0.2801,1.0822,6.4835,0.0154
"Cluster v1 + VM(실시간,≤1.5x)",5.7517,0.1125,0.0122,0.1106,0.9064,1.0171,-0.1932,0.9657,1.5,0.0151
Naive GMVP-LW,2.1225,0.0656,0.0122,0.1406,0.3797,0.4668,-0.5345,,,
Naive GMVP-LW + VM(M&M),1.0198,0.04,0.0122,0.1408,0.1973,0.2842,-0.459,1.0139,6.0741,0.0144
"Naive GMVP-LW + VM(실시간,≤1.5x)",2.6618,0.0751,0.0122,0.1115,0.5641,0.6739,-0.2855,0.9467,1.5,0.014
EW Market,4.2916,0.0975,0.0122,0.1985,0.4293,0.491,-0.5719,,,
EW Market + VM(M&M),1.3269,0.0483,0.0122,0.1987,0.1813,0.2429,-0.6462,1.067,6.3927,0.0152
"EW Market + VM(실시간,≤1.5x)",3.7698,0.0911,0.0122,0.1511,0.5221,0.6031,-0.3881,0.9558,1.5,0.0145
S&P500 TR (^SP500TR),5.318,0.1084,0.0122,0.1429,0.6725,0.7581,-0.5095,,,
"S&P500 (^GSPC, 가격)",3.3895,0.0861,0.0122,0.143,0.5164,0.602,-0.5256,,,
