,Sharpe,MDD,원본 Sharpe,원본 MDD,ΔSharpe,n,P(VM 우위),ΔSharpe 중앙값,5%,95%
[1] cap=1.0 burn=24,0.9490,-0.1784,,,,,,,,
[1] cap=1.0 burn=36,0.9594,-0.1784,,,,,,,,
[1] cap=1.0 burn=60,0.9097,-0.2227,,,,,,,,
[1] cap=1.25 burn=24,0.9523,-0.1850,,,,,,,,
[1] cap=1.25 burn=36,0.9676,-0.1850,,,,,,,,
[1] cap=1.25 burn=60,0.9219,-0.2227,,,,,,,,
[1] cap=1.5 burn=24,0.9446,-0.1862,,,,,,,,
[1] cap=1.5 burn=36,0.9645,-0.1862,,,,,,,,
[1] cap=1.5 burn=60,0.9180,-0.2227,,,,,,,,
[1] cap=2.0 burn=24,0.9079,-0.1862,,,,,,,,
[1] cap=2.0 burn=36,0.9308,-0.1862,,,,,,,,
[1] cap=2.0 burn=60,0.8888,-0.2227,,,,,,,,
[1] cap=3.0 burn=24,0.8263,-0.2005,,,,,,,,
[1] cap=3.0 burn=36,0.8325,-0.2005,,,,,,,,
[1] cap=3.0 burn=60,0.7979,-0.2227,,,,,,,,
[1] cap=inf burn=24,0.7513,-0.2627,,,,,,,,
[1] cap=inf burn=36,0.7523,-0.2627,,,,,,,,
[1] cap=inf burn=60,0.7218,-0.2627,,,,,,,,
"[2] RV2 (기본, 분산)",0.9446,-0.1862,,,,,,,,
[2] 표본분산,0.9453,-0.1850,,,,,,,,
[2] 표준편차 (1/σ),0.9223,-0.3029,,,,,,,,
[2] 최근 3개월 평균 RV,0.8814,-0.2179,,,,,,,,
[3] 전체 2003~2020,0.9446,-0.1862,0.7629,-0.4856,,,,,,
[3] 전반 2003~2011,0.9649,-0.1862,0.6006,-0.4856,,,,,,
[3] 후반 2012~2020,0.9281,-0.1308,0.9484,-0.2249,,,,,,
[4] 전체 표본,0.9446,,0.7629,,0.1816,215.0000,,,,
[4] 금융위기 제외,0.9901,,1.0516,,-0.0615,208.0000,,,,
[4] 코로나 제외,1.0369,,0.9005,,0.1364,212.0000,,,,
[4] 둘 다 제외,1.0863,,1.2475,,-0.1612,205.0000,,,,
[5] 2003 제외,,,,,0.1690,,,,,
[5] 2004 제외,,,,,0.1746,,,,,
[5] 2005 제외,,,,,0.2210,,,,,
[5] 2006 제외,,,,,0.1608,,,,,
[5] 2007 제외,,,,,0.1941,,,,,
[5] 2008 제외,,,,,0.0281,,,,,
[5] 2009 제외,,,,,0.1592,,,,,
[5] 2010 제외,,,,,0.2078,,,,,
[5] 2011 제외,,,,,0.1957,,,,,
[5] 2012 제외,,,,,0.1752,,,,,
[5] 2013 제외,,,,,0.1551,,,,,
[5] 2014 제외,,,,,0.2115,,,,,
[5] 2015 제외,,,,,0.2166,,,,,
[5] 2016 제외,,,,,0.1856,,,,,
[5] 2017 제외,,,,,0.1481,,,,,
[5] 2018 제외,,,,,0.2227,,,,,
[5] 2019 제외,,,,,0.2225,,,,,
[5] 2020 제외,,,,,0.1907,,,,,
[6] 최악 0개월 제외,0.9446,,0.7629,,0.1816,,,,,
[6] 최악 1개월 제외,0.9517,,0.8641,,0.0876,,,,,
[6] 최악 3개월 제외,0.9845,,1.0664,,-0.0819,,,,,
[6] 최악 5개월 제외,1.1235,,1.2396,,-0.1162,,,,,
[6] 최악 10개월 제외,1.2614,,1.5980,,-0.3366,,,,,
[7] 부트스트랩 전체 표본,,,,,,,0.7755,0.1489,-0.1660,0.4753
[7] 부트스트랩 금융위기 제외,,,,,,,0.2620,-0.0827,-0.2989,0.1275
