,금융위기 하락 (2007-11~2009-02),금융위기 반등 (2009-03~2009-12),유럽 재정위기 (2011-05~2011-09),중국 쇼크 (2015-08~2016-02),2018 4분기 급락 (2018-10~2018-12),코로나 폭락 (2020-02~2020-03),코로나 반등 (2020-04~2020-12)
"Cluster v2 (잔차+동적K, [C23+K24])",-0.4706,0.434,-0.0812,-0.0314,-0.1015,-0.2249,0.2591
Cluster v2 + VM(M&M),-0.1354,0.0824,-0.0375,-0.0497,-0.2427,-0.1161,0.0146
"Cluster v2 + VM(실시간,≤1.5x)",-0.1465,0.1275,-0.0537,-0.0593,-0.0995,-0.1086,0.0145
Cluster v2 + TV12m(수정),-0.3396,0.1714,-0.0771,-0.0299,-0.1119,-0.2418,0.121
"Cluster v1 (원시+K=10, [K24])",-0.5325,0.4992,-0.1564,-0.0314,-0.1037,-0.2258,0.3207
Cluster v1 + VM(M&M),-0.1586,0.0924,-0.0653,-0.0523,-0.2693,-0.1191,0.0199
"Cluster v1 + VM(실시간,≤1.5x)",-0.1542,0.1389,-0.0936,-0.0636,-0.1038,-0.1121,0.0198
Naive GMVP-LW,-0.5308,0.4426,-0.1503,-0.1147,-0.1637,-0.2021,0.2918
Naive GMVP-LW + VM(M&M),-0.1319,0.0731,-0.0763,-0.1033,-0.3135,-0.0963,-0.0135
"Naive GMVP-LW + VM(실시간,≤1.5x)",-0.1267,0.1138,-0.1073,-0.1299,-0.1342,-0.0905,-0.0132
EW Market,-0.5609,0.7446,-0.257,-0.1591,-0.2101,-0.291,0.7229
EW Market + VM(M&M),-0.1613,0.119,-0.1243,-0.1139,-0.463,-0.1324,0.0888
"EW Market + VM(실시간,≤1.5x)",-0.1455,0.1626,-0.1628,-0.1483,-0.1868,-0.1215,0.0874
S&P500 TR (^SP500TR),-0.5095,0.5456,-0.1626,-0.069,-0.1352,-0.1957,0.4726
"S&P500 (^GSPC, 가격)",-0.5256,0.517,-0.1703,-0.0816,-0.1397,-0.1987,0.4533
