,MDD,평균 낙폭,CDaR95,낙폭 10% 이상 달 비율,MDD 2003~2009,MDD 2010~2014,MDD 2015~2020,부트스트랩 P(VM MDD가 원본보다 나음),부트스트랩 P(VM MDD가 대조군보다 나음),부트스트랩 MDD 개선폭 중앙값(%p),부트스트랩 MDD 개선폭 5%(%p),부트스트랩 MDD 개선폭 95%(%p)
Cluster v2 (원본),-0.4856,-0.0659,-0.3913,0.2279,-0.4856,-0.0857,-0.2249,,,,,
"Cluster v2 (변동성 맞춘 원본, 0.81배 고정)",-0.4101,-0.0517,-0.3239,0.1907,-0.4101,-0.07,-0.1849,,,,,
"Cluster v2 + VM(실시간,≤1.5x)",-0.1862,-0.0413,-0.1698,0.1488,-0.1862,-0.0776,-0.1308,0.9725,0.9385,20.3751,2.7255,37.1858
Cluster v1 (원본),-0.5521,-0.0845,-0.4491,0.2977,-0.5521,-0.1564,-0.2258,,,,,
"Cluster v1 (변동성 맞춘 원본, 0.78배 고정)",-0.4548,-0.0626,-0.36,0.2279,-0.4548,-0.1233,-0.1776,,,,,
"Cluster v1 + VM(실시간,≤1.5x)",-0.1932,-0.043,-0.1743,0.1349,-0.1932,-0.0936,-0.1359,0.985,0.932,25.5899,3.6881,44.3865
Naive GMVP-LW (원본),-0.5345,-0.0984,-0.4312,0.3767,-0.5345,-0.1503,-0.2613,,,,,
"Naive GMVP-LW (변동성 맞춘 원본, 0.79배 고정)",-0.4452,-0.0745,-0.3499,0.2744,-0.4452,-0.1206,-0.2044,,,,,
"Naive GMVP-LW + VM(실시간,≤1.5x)",-0.2855,-0.0661,-0.2455,0.2651,-0.1452,-0.1073,-0.2855,0.8505,0.7145,19.0968,-5.0585,43.5173
EW Market (원본),-0.5719,-0.0892,-0.4509,0.3302,-0.5719,-0.257,-0.3564,,,,,
"EW Market (변동성 맞춘 원본, 0.76배 고정)",-0.4634,-0.0646,-0.3521,0.2186,-0.4634,-0.2004,-0.27,,,,,
"EW Market + VM(실시간,≤1.5x)",-0.3881,-0.0832,-0.3715,0.2977,-0.1686,-0.1628,-0.3881,0.832,0.6455,14.9157,-8.032,38.9578
