,Max Drawdown,MDD 고점,MDD 저점,하락 기간(개월),회복 시점,회복 기간(개월),Calmar (연수익/|MDD|),Sortino,하방변동성 (연),최악의 달,최악의 12개월,플러스 달 비율
"Cluster v2 (잔차+동적K, [C23+K24])",-0.4855928691991157,2007-05,2009-02,21,2012-06,40,0.2221769548509081,1.057650792752953,0.0904323869613489,-0.14719998658390482,-0.374080830520356,0.6837209302325581
Cluster v2 + VM(M&M),-0.25619765903088665,2018-08,2018-12,4,미회복,,0.3633158514839335,0.9137569864148682,0.08846882992425273,-0.22976245943131152,-0.20272600808748475,0.6883720930232559
"Cluster v2 + VM(실시간,≤1.5x)",-0.186166671651933,2007-05,2009-02,21,2010-12,22,0.602630435334285,1.582199785649947,0.06317030508604168,-0.085539981769989,-0.12921607943988744,0.6883720930232559
Cluster v2 + TV12m(수정),-0.4099082083127683,2007-05,2009-02,21,2013-02,48,0.23635196753894275,0.9946389157581192,0.08509716540178747,-0.14593935511099798,-0.2643116345552867,0.6837209302325581
"Cluster v1 (원시+K=10, [K24])",-0.5521390844815766,2007-05,2009-02,21,2013-03,49,0.18034244964936638,0.8707230549678159,0.10029877505658975,-0.1741422259301932,-0.45027524965705457,0.6837209302325581
Cluster v1 + VM(M&M),-0.2801355639506581,2018-08,2018-12,4,미회복,,0.3400927723460938,0.8507714405341068,0.09759427433157328,-0.25548840727986094,-0.23564802660137718,0.6883720930232559
"Cluster v1 + VM(실시간,≤1.5x)",-0.1932387420440116,2007-05,2009-02,21,2010-04,14,0.5820860275866602,1.4988911573556656,0.06687604501805341,-0.08824861951411225,-0.13447704304180896,0.6976744186046512
Naive GMVP-LW,-0.534520264663003,2007-05,2009-02,21,2013-03,49,0.12275281352502045,0.5189825829486255,0.10284007385088521,-0.1780216531293825,-0.44518351673646483,0.641860465116279
Naive GMVP-LW + VM(M&M),-0.4590414531617213,2018-08,2020-10,26,미회복,,0.08717320799807943,0.2534846264477963,0.1095705773153268,-0.2910095015650739,-0.4083671372680817,0.6465116279069767
"Naive GMVP-LW + VM(실시간,≤1.5x)",-0.2854509493841628,2018-08,2020-10,26,미회복,,0.2632046952987718,0.8590414750902386,0.07320993544931573,-0.10758410582296386,-0.19815589157014002,0.6558139534883721
EW Market,-0.571925180303047,2007-05,2009-02,21,2011-03,25,0.1703964164087673,0.6292512374021586,0.13541863233135792,-0.22345400629451606,-0.4740391664215071,0.641860465116279
EW Market + VM(M&M),-0.6461541175321963,2018-08,2020-09,25,미회복,,0.0746954960467685,0.23705998674026288,0.1519579225971868,-0.4404994970869917,-0.6214272109194652,0.6465116279069767
"EW Market + VM(실시간,≤1.5x)",-0.3881459421027825,2018-08,2020-09,25,미회복,,0.23473895197442757,0.7983150422355754,0.09879722700163959,-0.1551865355074179,-0.33602105013362116,0.6511627906976745
S&P500 TR (^SP500TR),-0.5094876760691065,2007-10,2009-02,16,2012-03,37,0.21269701225132137,1.0036154021779835,0.09577856921526064,-0.1679505612071048,-0.4332055719766025,0.6930232558139535
"S&P500 (^GSPC, 가격)",-0.5255585947031323,2007-10,2009-02,16,2013-03,49,0.1637578749998687,0.7504941333921386,0.09836545837749665,-0.1694245240177707,-0.4475624146772429,0.6604651162790698
